----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
        Identity-150           [-1, 12, 50, 64]               0
          Linear-151              [-1, 50, 768]         590,592
         Dropout-152              [-1, 50, 768]               0
       Attention-153              [-1, 50, 768]               0
        Identity-154              [-1, 50, 768]               0
        Identity-155              [-1, 50, 768]               0
       LayerNorm-156              [-1, 50, 768]           1,536
          Linear-157             [-1, 50, 3072]       2,362,368
            GELU-158             [-1, 50, 3072]               0
         Dropout-159             [-1, 50, 3072]               0
        Identity-160             [-1, 50, 3072]               0
          Linear-161              [-1, 50, 768]       2,360,064
         Dropout-162              [-1, 50, 768]               0
             Mlp-163              [-1, 50, 768]               0
        Identity-164              [-1, 50, 768]               0
        Identity-165              [-1, 50, 768]               0
           Block-166              [-1, 50, 768]               0
       LayerNorm-167              [-1, 50, 768]           1,536
          Linear-168             [-1, 50, 2304]       1,771,776
        Identity-169           [-1, 12, 50, 64]               0
        Identity-170           [-1, 12, 50, 64]               0
          Linear-171              [-1, 50, 768]         590,592
         Dropout-172              [-1, 50, 768]               0
       Attention-173              [-1, 50, 768]               0
        Identity-174              [-1, 50, 768]               0
        Identity-175              [-1, 50, 768]               0
       LayerNorm-176              [-1, 50, 768]           1,536
          Linear-177             [-1, 50, 3072]       2,362,368
            GELU-178             [-1, 50, 3072]               0
         Dropout-179             [-1, 50, 3072]               0
        Identity-180             [-1, 50, 3072]               0
          Linear-181              [-1, 50, 768]       2,360,064
         Dropout-182              [-1, 50, 768]               0
             Mlp-183              [-1, 50, 768]               0
        Identity-184              [-1, 50, 768]               0
        Identity-185              [-1, 50, 768]               0
           Block-186              [-1, 50, 768]               0
       LayerNorm-187              [-1, 50, 768]           1,536
          Linear-188             [-1, 50, 2304]       1,771,776
        Identity-189           [-1, 12, 50, 64]               0
        Identity-190           [-1, 12, 50, 64]               0
          Linear-191              [-1, 50, 768]         590,592
         Dropout-192              [-1, 50, 768]               0
       Attention-193              [-1, 50, 768]               0
        Identity-194              [-1, 50, 768]               0
        Identity-195              [-1, 50, 768]               0
       LayerNorm-196              [-1, 50, 768]           1,536
          Linear-197             [-1, 50, 3072]       2,362,368
            GELU-198             [-1, 50, 3072]               0
         Dropout-199             [-1, 50, 3072]               0
        Identity-200             [-1, 50, 3072]               0
          Linear-201              [-1, 50, 768]       2,360,064
         Dropout-202              [-1, 50, 768]               0
             Mlp-203              [-1, 50, 768]               0
        Identity-204              [-1, 50, 768]               0
        Identity-205              [-1, 50, 768]               0
           Block-206              [-1, 50, 768]               0
       LayerNorm-207              [-1, 50, 768]           1,536
          Linear-208             [-1, 50, 2304]       1,771,776
        Identity-209           [-1, 12, 50, 64]               0
        Identity-210           [-1, 12, 50, 64]               0
          Linear-211              [-1, 50, 768]         590,592
         Dropout-212              [-1, 50, 768]               0
       Attention-213              [-1, 50, 768]               0
        Identity-214              [-1, 50, 768]               0
        Identity-215              [-1, 50, 768]               0
       LayerNorm-216              [-1, 50, 768]           1,536
          Linear-217             [-1, 50, 3072]       2,362,368
            GELU-218             [-1, 50, 3072]               0
         Dropout-219             [-1, 50, 3072]               0
        Identity-220             [-1, 50, 3072]               0
          Linear-221              [-1, 50, 768]       2,360,064
         Dropout-222              [-1, 50, 768]               0
             Mlp-223              [-1, 50, 768]               0
        Identity-224              [-1, 50, 768]               0
        Identity-225              [-1, 50, 768]               0
           Block-226              [-1, 50, 768]               0
       LayerNorm-227              [-1, 50, 768]           1,536
          Linear-228             [-1, 50, 2304]       1,771,776
        Identity-229           [-1, 12, 50, 64]               0
        Identity-230           [-1, 12, 50, 64]               0
          Linear-231              [-1, 50, 768]         590,592
         Dropout-232              [-1, 50, 768]               0
       Attention-233              [-1, 50, 768]               0
        Identity-234              [-1, 50, 768]               0
        Identity-235              [-1, 50, 768]               0
       LayerNorm-236              [-1, 50, 768]           1,536
          Linear-237             [-1, 50, 3072]       2,362,368
            GELU-238             [-1, 50, 3072]               0
         Dropout-239             [-1, 50, 3072]               0
        Identity-240             [-1, 50, 3072]               0
          Linear-241              [-1, 50, 768]       2,360,064
         Dropout-242              [-1, 50, 768]               0
             Mlp-243              [-1, 50, 768]               0
        Identity-244              [-1, 50, 768]               0
        Identity-245              [-1, 50, 768]               0
           Block-246              [-1, 50, 768]               0
       LayerNorm-247              [-1, 50, 768]           1,536
        Identity-248                  [-1, 768]               0
         Dropout-249                  [-1, 768]               0
          Linear-250                   [-1, 19]          14,611
================================================================
Total params: 87,430,675
Trainable params: 87,430,675
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.66
Forward/backward pass size (MB): 121.58
Params size (MB): 333.52
Estimated Total Size (MB): 455.76
----------------------------------------------------------------
